Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Country,Fuel,Owner,Rank,Lat,Long
Patnow I,5931849,5259965,5371308,5365079,4766368,4611181,4153039,3079750,2660918,1184719,Poland,Lignite,ZEPAK,138,52.3047997,18.2318854
Chemnitz North II,1142876,979498,942323,913543,1102398,1041764,1003363,896368,1082134,1167978,Germany,Lignite,eins energie in sachsen GmbH & Co. KG,139,50.857025,12.9231515
Marl,2182394,2247149,1887037,1517311,1701963,1643452,1566925,1614210,1417437,1165205,Germany,Hard Coal,Evonik Operations GmbH,140,51.6787945,7.0949199
Pergen,1292130,1194646,1231672,1228840,1174220,1267051,1238037,1234960,1209448,1154360,Netherlands,Gas,Air Liquide,141,51.8760535,4.3466309
Skawina,1502218,1516040,1564082,1511824,1454765,1460511,1011513,1122539,1197896,1147635,Poland,Hard Coal,CEZ,142,49.9742916,19.8019098
Altomonte,554649,472035,1080537,1123085,1551492,1399977,1433221,1200239,829488,1143418,Italy,Gas,EDF,143,39.6984817,16.1289488
Porto Corsini,80982,31513,44779,420816,410688,348868,879052,788084,944328,1138841,Italy,Gas,ENEL,144,44.4836897,12.2635624
Moncalieri,1574003,1104833,961723,1187156,1460227,1370271,1424955,1250059,1269069,1137974,Italy,Gas,Iren SpA,145,44.9919886,7.6748044
Puławy,1469200,1451478,1408645,1453240,1257488,1346986,1405473,1275201,1388139,1127492,Poland,Hard Coal,Grupa Azoty,146,51.4518429,21.9808619
Enecogen,400218,893375,907946,1309359,1725324,1509842,1995379,1903268,1429012,1126575,Netherlands,Gas,Mitsubishi Corporation,147,51.9569193,4.0895229
Dhekelia,1412330,1254445,1203009,1347983,1435182,1435044,1222334,1385606,1153120,1125505,Cyprus,Oil,Electricity Authority of Cyprus,148,34.9182222,33.6200625
Chivasso,227645,1,144273,365829,807454,867697,973008,983108,1059582,1122828,Italy,Gas,A2A,149,45.1872139,7.9006616
Chorzow 2,938560,920696,1082121,1181539,1354606,1354248,1319379,1187540,1099915,1120668,Poland,Hard Coal,CEZ,150,50.308267,18.9710955
Sloecentrale,1119570,1337670,902185,1418460,1259749,1302468,1725978,1798500,1271418,1104337,Netherlands,Gas,EDF,151,51.4452028,3.6952143
Kraftwerk Irsching,330118,50482,226803,85738,58318,16477,23531,617622,1465600,1104197,Germany,Gas,Uniper,152,48.7679508,11.5825409
Megalopoli B,2847872,2418698,2205148,2378802,2609505,956916,606735,863406,1303707,1102832,Greece,Lignite,ΔΕΗ,153,37.401244,22.1364871
Tisova,1473748,1449141,1562430,1385616,1362018,1233258,609484,415771,763411,1098962,Czechia,Lignite,Sokolovská Uhelná AS,154,50.1500848,12.609539
Livorno Ferraris,735680,519649,919368,1052269,1631910,1351092,1584402,1367794,1649651,1092716,Italy,Gas,EPH,155,45.281749,8.0920724
Stabilimento di Ferrara,1331256,1178440,1278618,1579538,1624106,1559622,1530614,1090948,1449393,1084656,Italy,Gas,ENI,156,44.8594441,11.5954038
Petrobrazi refinery power plant,1191040,1015444,1011926,985749,995531,983911,1062993,1048840,1052362,1078584,Romania,Oil,PETROM SA - Membru OMV GRUP,157,44.8828495,26.016432
Isalnita,1652543,2378893,2608863,1760749,2357658,2528089,1818205,881255,1116183,1076572,Romania,Lignite,CE Oltenia SA,158,44.3939534,23.7247375
Lavrio,910971,876120,570065,593781,1009835,381808,1024881,1061656,1396905,1075507,Greece,Gas,ΔΕΗ,159,37.7188511,24.0484129
Novaky,2299035,2077299,2143125,1854213,1789587,1578201,1503209,1214889,1165923,1074819,Slovakia,Lignite,EPH,160,48.6938049,18.5301263
Detmarovice,2068701,1949108,2351694,2366731,1568742,1256488,518667,376214,1165576,1072022,Czechia,Hard Coal,CEZ,161,49.9053667,18.4647067
Vado Ligure,3918141,1304482,500448,863113,1171532,983443,745710,500157,633270,1070746,Italy,Gas,ENGIE,162,44.2780031,8.4327133
